Team,Base City,Total Travel Time (hours)
Botswana,Rabat,5.66
Benin,Rabat,5.66
Congo,Rabat,5.66
Algeria,Rabat,5.48
Angola,Marrakesh,5.24
Cameroon,Agadir,5.24
Mozambique,Agadir,5.24
Gabon,Agadir,5.24
Zimbabwe,Marrakesh,5.24
South Africa,Marrakesh,5.24
Tanzania,Rabat,4.8
Tunisia,Rabat,4.8
Uganda,Rabat,4.8
Comoros,Casablanca,2.74
Zambia,Casablanca,2.74
Mali,Casablanca,2.74
Sudan,Casablanca,2.74
Burkina Faso,Casablanca,0.0
Nigeria,Fez,0.0
Equatorial Guinea,Casablanca,0.0
Cote d'Ivoire,Marrakesh,0.0
Morocco,Rabat,0.0
Egypt,Agadir,0.0
Senegal,Tangier,0.0
